file_path,file_kind,runtime_reachable,reachable_from_prototype_routes,direct_prototype_route_entry,canonical_route_owner,canonical_owner_family,target_state_status,target_runtime_owner,usage_class,recommended_action,delete_safe_now,imported_by_count,imported_by,target_component_surfaces,gap_feature_refs,evidence
frontend/src/prototype-features/components/DocumentInput.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,2,prototype-features/src/components/feature/JobInputPanel.tsx | prototype-features/src/pages/ProfileView.tsx,,,reachable from App.tsx via /prototype/* | imported by 2 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/components/icons/FileIcon.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/components/DocumentInput.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/components/icons/TrashIcon.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/components/DocumentInput.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/components/icons/UploadIcon.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/components/DocumentInput.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/image-studio/ImageStudio.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/image-studio/ImageStudioPage.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/image-studio/ImageStudioPage.tsx,page,true,true,true,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/prototype-routes.tsx,,,directly imported by prototype-routes.tsx | reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/prototype-routes.tsx,route_manifest,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,App.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/feature/AiOutputsTabs.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/feature/JobInputPanel.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
frontend/src/prototype-features/src/components/feature/SaveApplicationBar.tsx,component,true,true,false,,,,,runtime_support_route,keep_support_only,false,1,prototype-features/src/pages/ApplyQuickWorkspaceReference.tsx,,,reachable from App.tsx via /prototype/* | imported by 1 file(s) | mounted support-only runtime surface
